Loaded 10000 UniProt IDs
Scanned 3050/10000 | reused=0 | fetched_new=0 | failed=3050
Scanned 3060/10000 | reused=0 | fetched_new=0 | failed=3060
Scanned 3070/10000 | reused=0 | fetched_new=0 | failed=3070
Scanned 3080/10000 | reused=0 | fetched_new=0 | failed=3080
Scanned 3090/10000 | reused=0 | fetched_new=0 | failed=3090
Scanned 3100/10000 | reused=0 | fetched_new=0 | failed=3100
Scanned 3110/10000 | reused=0 | fetched_new=0 | failed=3110
Scanned 3120/10000 | reused=0 | fetched_new=0 | failed=3120
Scanned 3130/10000 | reused=0 | fetched_new=0 | failed=3130
Scanned 3140/10000 | reused=0 | fetched_new=0 | failed=3140
Scanned 3150/10000 | reused=0 | fetched_new=0 | failed=3150
Scanned 3160/10000 | reused=0 | fetched_new=0 | failed=3160
Scanned 3170/10000 | reused=0 | fetched_new=0 | failed=3170
Scanned 3180/10000 | reused=0 | fetched_new=0 | failed=3180
Scanned 3190/10000 | reused=0 | fetched_new=0 | failed=3190
Scanned 3200/10000 | reused=0 | fetched_new=0 | failed=3200
Scanned 3210/10000 | reused=0 | fetched_new=0 | failed=3210
Scanned 3220/10000 | reused=0 | fetched_new=0 | failed=3220
Scanned 3230/10000 | reused=0 | fetched_new=0 | failed=3230
Scanned 3240/10000 | reused=0 | fetched_new=0 | failed=3240
Scanned 3250/10000 | reused=0 | fetched_new=0 | failed=3250
Scanned 3260/10000 | reused=0 | fetched_new=0 | failed=3260
Scanned 3270/10000 | reused=0 | fetched_new=0 | failed=3270
Scanned 3280/10000 | reused=0 | fetched_new=0 | failed=3280
Scanned 3290/10000 | reused=0 | fetched_new=0 | failed=3290
Scanned 3300/10000 | reused=0 | fetched_new=0 | failed=3300
Scanned 3310/10000 | reused=0 | fetched_new=0 | failed=3310
Scanned 3320/10000 | reused=0 | fetched_new=0 | failed=3320
Scanned 3330/10000 | reused=0 | fetched_new=0 | failed=3330
Scanned 3340/10000 | reused=0 | fetched_new=0 | failed=3340
Scanned 3350/10000 | reused=0 | fetched_new=0 | failed=3350
Scanned 3360/10000 | reused=0 | fetched_new=0 | failed=3360
Scanned 3370/10000 | reused=0 | fetched_new=0 | failed=3370
Scanned 3380/10000 | reused=0 | fetched_new=0 | failed=3380
Scanned 3390/10000 | reused=0 | fetched_new=0 | failed=3390
Scanned 3400/10000 | reused=0 | fetched_new=0 | failed=3400
Scanned 3410/10000 | reused=0 | fetched_new=0 | failed=3410
Scanned 3420/10000 | reused=0 | fetched_new=0 | failed=3420
